ID;Name;Kläranlage;Straße;PLZ;Ort;lat;lon
;;;;;;;
Reichenbach_Ablauf;Reichenbach_Ablauf;Reichenbach;;;;50.424399;11.412332
Wevelinghoven_Ablauf-RW;Wevelinghoven_Ablauf-RW;Wevelinghoven;;;;51.105503;6.621514
Waldangelbachtal_Ablauf_RW;Waldangelbachtal_Ablauf_RW;Waldangelbachtal;;;;49.247469;8.87684
Bondorf-Hailfingen_Ablauf_RW;Bondorf-Hailfingen_Ablauf_RW;Bondorf-Halifingen;;;;48.527967;8.867948
Elze_Ablauf_RW;Elze_Ablauf_RW;Elze;;;;52.121856;9.71644
Eutin_Ablauf;Eutin_Ablauf;Eutin;;;;54.136545;10.614495
Lamspringe_Ablauf_RW;Lamspringe_Ablauf_RW;Lamspringe;;;;51.957735;10.008751
Reichenbach;Reichenbach;;Hauptstraße;96358;;50.4244;11.4123
Wevelinghoven;Wevelinghoven;;Hauptstraße;41516;;51.1055;6.6215
Waldangelbachtal;Waldangelbachtal;;Hauptstraße;74889;;49.2475;8.8768
Bondorf-Halifingen;Bondorf-Halifingen;;Hauptstraße;72108;;48.528;8.8679
Elze;Elze;;Hauptstraße;31008;;52.1219;9.7164
Eutin;Eutin;;Hauptstraße;23701;;54.1365;10.6145
Lamspringe;Lamspringe;;Hauptstraße;31195;;51.9577;10.0088
