ID;Name;Ort;Straﬂe;Hausnummer;PLZ;Bundesland;lat;lon;Thematik;Angeschlossenen_EW;GK;Ausbaugrˆﬂe_EW;System;Einleitgew‰sser;Jahresabwassermenge_in_m3;Jahresschmutzwassermenge_in_m3;Fremdwasseranteil_in_prozent;Fl‰chenanteil_Mischsystem_in_prozent;Besondere_industrielle_Einleiter
KAM_NW_BHK;Bergheim-Kenten;Bergheim;Im Rauland;;50127;NW;50.940.534;6.656.646;Kl‰ranlage;107448;4b;120000;MS;Erft;8864286;5122208;;10;Glaswerk, Spaltwasser (ca. 250 m^3/a)
KAM_BY_BOB;Bobingen;Bobingen;Flurstra√üe;50;86399;BY;48.286.496;10.829.547;Kl‰ranlage;16000;1 bis 3;28000;MS;Wertach;1689800;1270500;16;28;"Behindertenheim mir erhˆhter Medikamentenbelastung; Industrieschlachthof"
KAM_BW_BON;Bondorf-Hailfingen;Rottenburg-Hailfingen;Trailfingerstra√üe;73;72108;BW;48.534.804;8.875.112;Kl‰ranlage;7180;4a;9000;MS;Kochhartgraben;1026032;570043;49;50;Galvanikbetrieb
KAM_SL_BRE;Brebach;Saarbr√ºcken;Saargem√ºnder Stra√üe;20;66130;SL;49.210.257;7.029.439;Kl‰ranlage;81400;4b;135000;MS;Saarbach;12695725;7958000;56,2;72;keine
KAM_HB_HBR;Bremen-Seehausen;Bremen;Seehauser Landstra√üe;99;28197;HB;53.114.704;8.712.631;Kl‰ranlage;585000;5;1000000;MS;Weser;42986442;34901990;10;85;9 Becken, Gemeinde betreibt weitere, Jahres RW. Abfluss 520554 m^3
KAM_SN_CHM;Chemnitz-Heinersdorf;Chemnitz;Heinersdorfer Stra√üe;42;9114;SN;50.875.033;12.899.282;Kl‰ranlage;249000;5b;400000;MS;Chemnitz;28166336;18368625;22;82;keine
KAM_HE_DAR;Darmstadt-Eberstadt;Darmstadt;Pfungst√§dterstra√üe;196;64297;HE;49.813.901;8.620.816;Kl‰ranlage;30712;4a;50000;MS;Modau;2208616;1373742;26;100;Abwasser aus Kelterbetrieb September und Oktober
KAM_ST_DES;Dessau;Dessau-Ro√ülau;Kornhausstra√üe;147;6846;ST;51.856.587;12.215.265;Kl‰ranlage;82940;5b;145000;MS;Ellbe;6272800;549043;37,19;5;keine
KAM_BY_DON;Donauw√∂rth;Donauw√∂rth;Im Weichselw√∂rth;1;86609;BY;48.710.889;10.796.233;Kl‰ranlage;28433;4a;64000;MS;Donau;2516000;1781000;18;50;Metallverarbeitung, Schlachtbetrieb
KAM_NW_DMD;Dortmund-Deusen;Dortmund;Deusener Stra√üe;128;44369;NW;5.153.937;7.425.283;Kl‰ranlage;140000;4b;70500;MS;Emscher;52411843;37393690;35;50;keine
KAM_HE_EIT;Eitratal;Eiterfeld;Waldwiese;2;36132;HE;50.790.102;9.760.803;Kl‰ranlage;5050;5b;7500;MS;Eitra;1244660;761190;79,5;55;Industriepark Werk Bobingen Gewerbliche CSB-Belastung, Zulauf CSB der Kl‰ranlage (2016): 2251 mg/L
KAM_NI_ELZ;Elze;Elze;Rieheweg;1;31008;NI;52.122.484;9.750.927;Kl‰ranlage;9184;5b;35000;MS;Riehe;852654;709262;;52;keine
KAM_BW_EPP;Eppingen;Eppingen;Scheurlesstra√üe;52;75301;BW;49.141.572;8.925;Kl‰ranlage;18000;5a;31350;MS;Elsenz;3514160;2732315;69,3;80;Brauerei, Kartoffelverarbeitungsbetrieb
KAM_RP_ERD;Erdesbach;Erdesbach;Am Schleidchen;1;66887;RP;49.572.925;7.451.218;Kl‰ranlage;12900;4b;15900;MS;Glan;2001800;1047600;33;32,2;keine
KAM_NW_ERF;Erftstadt;Erftstadt-K√∂ttingen;Notweg;52;50374;NW;50.830.994;6.793.967;Kl‰ranlage;49500;5a;70000;MS;Erft;5080333;3609645;;0;keine
KAM_BY_ERL;Erlangen;Erlangen;Bayreuther Stra√üe;105;91054;BY;49.614.225;10.999.776;Kl‰ranlage;163000;4a;270000;MS;Regnitz;19303000;14243000;20,7;68,2;keine
