ID;Name;Ort;Straße;Hausnummer;PLZ;Bundesland;lat;lon;Thematik;Angeschlossenen_EW;GK;Ausbaugröße_EW;System;Einleitgewässer;Jahresabwassermenge_in_m3;Jahresschmutzwassermenge_in_m3;Fremdwasseranteil_in_prozent;Flächenanteil_Mischsystem_in_prozent;Besondere_industrielle_Einleiter
KAM_NW_BHK;Bergheim-Kenten;Bergheim;Im Rauland;;50127;NW;50,940534;6,656646;Kläranlage;107448;4b;120000;MS;Erft;8864286;5122208;;10;Glaswerk, Spaltwasser (ca. 250 m^3/a)
KAM_BY_BOB;Bobingen;Bobingen;Flurstraße;50;86399;BY;48,286496;10,829547;Kläranlage;16000;1 bis 3;28000;MS;Wertach;1689800;1270500;16;28;"Behindertenheim mir erhöhter Medikamentenbelastung; Industrieschlachthof"
KAM_BW_BON;Bondorf-Hailfingen;Rottenburg-Hailfingen;Trailfingerstraße;73;72108;BW;48,534804;8,875112;Kläranlage;7180;4a;9000;MS;Kochhartgraben;1026032;570043;49;50;Galvanikbetrieb
KAM_SL_BRE;Brebach;Saarbrücken;Saargemünder Straße;20;66130;SL;49,210257;7,029439;Kläranlage;81400;4b;135000;MS;Saarbach;12695725;7958000;56,2;72;keine
KAM_HB_HBR;Bremen-Seehausen;Bremen;Seehauser Landstraße;99;28197;HB;53,114704;8,712631;Kläranlage;585000;5;1000000;MS;Weser;42986442;34901990;10;85;9 Becken, Gemeinde betreibt weitere, Jahres RW. Abfluss 520554 m^3
KAM_SN_CHM;Chemnitz-Heinersdorf;Chemnitz;Heinersdorfer Straße;42;9114;SN;50,875033;12,899282;Kläranlage;249000;5b;400000;MS;Chemnitz;28166336;18368625;22;82;keine
KAM_HE_DAR;Darmstadt-Eberstadt;Darmstadt;Pfungstädterstraße;196;64297;HE;49,813901;8,620816;Kläranlage;30712;4a;50000;MS;Modau;2208616;1373742;26;100;Abwasser aus Kelterbetrieb September und Oktober
KAM_ST_DES;Dessau;Dessau-Roßlau;Kornhausstraße;147;6846;ST;51,856587;12,215265;Kläranlage;82940;5b;145000;MS;Ellbe;6272800;549043;37,19;5;keine
KAM_BY_DON;Donauwörth;Donauwörth;Im WeichselwÃ¶rth;1;86609;BY;48,710889;10,796233;Kläranlage;28433;4a;64000;MS;Donau;2516000;1781000;18;50;Metallverarbeitung, Schlachtbetrieb
KAM_NW_DMD;Dortmund-Deusen;Dortmund;Deusener Straße;128;44369;NW;51,53937;7,425283;Kläranlage;140000;4b;70500;MS;Emscher;52411843;37393690;35;50;keine
KAM_HE_EIT;Eitratal;Eiterfeld;Waldwiese;2;36132;HE;50,790102;9,760803;Kläranlage;5050;5b;7500;MS;Eitra;1244660;761190;79,5;55;Industriepark Werk Bobingen Gewerbliche CSB-Belastung, Zulauf CSB der Kläranlage (2016): 2251 mg/L
