ID;PNS_ID;Probenahmedatum;Ereignisbeginn;Ereignisende;Ereignisdauer;Ereignisdauereinheit;Ereignisvolumen;Ereignisvolumeneinheit;Teilprobe von;Abflusssituation;Probenahmetechnik;Probenahmeart;Probenvolumen;Probenvolumeneinheit;Labor;Labor_Nr
"P_161017_2017018468";KAM_NW_BHK_Ablauf;16.10.2017;16.10.2017;24.10.2017;7;Tage;12919;m³;;TW;automatischer Probenehmer;7-Tage-Mischprobe;7;l;TZW;2017018468
"P_161017_2017018468_01";KAM_NW_BHK_Ablauf;16.10.2017;16.10.2017;17.10.2017;1;Tage;13869;m³;"P_161017_2017018468";TW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2017018468
"P_161017_2017018468_02";KAM_NW_BHK_Ablauf;16.10.2017;17.10.2017;18.10.2017;1;Tage;12854;m³;"P_161017_2017018468";TW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2017018468
"P_161017_2017018468_03";KAM_NW_BHK_Ablauf;16.10.2017;18.10.2017;19.10.2017;1;Tage;13124;m³;"P_161017_2017018468";TW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2017018468
"P_161017_2017018468_04";KAM_NW_BHK_Ablauf;16.10.2017;19.10.2017;21.10.2017;1;Tage;12881;m³;"P_161017_2017018468";TW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2017018468
"P_161017_2017018468_05";KAM_NW_BHK_Ablauf;16.10.2017;21.10.2017;23.10.2017;1;Tage;13053;m³;"P_161017_2017018468";TW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2017018468
"P_161017_2017018468_06";KAM_NW_BHK_Ablauf;16.10.2017;23.10.2017;24.10.2017;1;Tage;12208;m³;"P_161017_2017018468";TW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2017018468
"P_161017_2017018468_07";KAM_NW_BHK_Ablauf;16.10.2017;24.10.2017;24.10.2017;1;Tage;12441;m³;"P_161017_2017018468";TW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2017018468
P_051117_2017019798;KAM_NW_BHK_Ablauf;05.11.2017;05.11.2017;21.11.2017;7;Tage;34231;m³;;RW;automatischer Probenehmer;7-Tage-Mischprobe;7;l;TZW;2017019798
P_051117_2017019798_01;KAM_NW_BHK_Ablauf;05.11.2017;05.11.2017;06.11.2017;1;Tage;41175;m³;P_051117_2017019798;RW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2017019798
P_051117_2017019798_02;KAM_NW_BHK_Ablauf;05.11.2017;06.11.2017;12.11.2017;1;Tage;31453;m³;P_051117_2017019798;RW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2017019798
P_051117_2017019798_03;KAM_NW_BHK_Ablauf;05.11.2017;12.11.2017;13.11.2017;1;Tage;26618;m³;P_051117_2017019798;RW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2017019798
P_051117_2017019798_04;KAM_NW_BHK_Ablauf;05.11.2017;13.11.2017;19.11.2017;1;Tage;28642;m³;P_051117_2017019798;RW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2017019798
P_051117_2017019798_05;KAM_NW_BHK_Ablauf;05.11.2017;19.11.2017;20.11.2017;1;Tage;38772;m³;P_051117_2017019798;RW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2017019798
P_051117_2017019798_06;KAM_NW_BHK_Ablauf;05.11.2017;20.11.2017;21.11.2017;1;Tage;27539;m³;P_051117_2017019798;RW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2017019798
P_051117_2017019798_07;KAM_NW_BHK_Ablauf;05.11.2017;21.11.2017;21.11.2017;1;Tage;45417;m³;P_051117_2017019798;RW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2017019798
P_071117_2017019797;KAM_NW_BHK_Ablauf;07.11.2017;07.11.2017;23.11.2017;7;Tage;13149;m³;;TW;automatischer Probenehmer;7-Tage-Mischprobe;7;l;TZW;2017019797
P_071117_2017019797_01;KAM_NW_BHK_Ablauf;07.11.2017;07.11.2017;08.11.2017;1;Tage;12474;m³;P_071117_2017019797;TW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2017019797
P_071117_2017019797_02;KAM_NW_BHK_Ablauf;07.11.2017;08.11.2017;09.11.2017;1;Tage;13981;m³;P_071117_2017019797;TW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2017019797
P_071117_2017019797_03;KAM_NW_BHK_Ablauf;07.11.2017;09.11.2017;14.11.2017;1;Tage;11936;m³;P_071117_2017019797;TW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2017019797
P_071117_2017019797_04;KAM_NW_BHK_Ablauf;07.11.2017;14.11.2017;15.11.2017;1;Tage;13542;m³;P_071117_2017019797;TW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2017019797
P_071117_2017019797_05;KAM_NW_BHK_Ablauf;07.11.2017;15.11.2017;16.11.2017;1;Tage;13251;m³;P_071117_2017019797;TW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2017019797
P_071117_2017019797_06;KAM_NW_BHK_Ablauf;07.11.2017;16.11.2017;23.11.2017;1;Tage;12835;m³;P_071117_2017019797;TW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2017019797
P_071117_2017019797_07;KAM_NW_BHK_Ablauf;07.11.2017;23.11.2017;23.11.2017;1;Tage;14026;m³;P_071117_2017019797;TW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2017019797
"P_031217_2018000137";KAM_NW_BHK_Ablauf;03.12.2017;03.12.2017;20.12.2017;6;Tage;39041;m³;;RW;automatischer Probenehmer;7-Tage-Mischprobe;6;l;TZW;2018000137
"P_031217_2018000137_01";KAM_NW_BHK_Ablauf;03.12.2017;03.12.2017;09.12.2017;1;Tage;24606;m³;"P_031217_2018000137";RW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2018000137
"P_031217_2018000137_02";KAM_NW_BHK_Ablauf;03.12.2017;09.12.2017;11.12.2017;1;Tage;37704;m³;"P_031217_2018000137";RW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2018000137
"P_031217_2018000137_03";KAM_NW_BHK_Ablauf;03.12.2017;11.12.2017;18.12.2017;1;Tage;50635;m³;"P_031217_2018000137";RW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2018000137
"P_031217_2018000137_04";KAM_NW_BHK_Ablauf;03.12.2017;18.12.2017;19.12.2017;1;Tage;43768;m³;"P_031217_2018000137";RW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2018000137
"P_031217_2018000137_05";KAM_NW_BHK_Ablauf;03.12.2017;19.12.2017;20.12.2017;1;Tage;37933;m³;"P_031217_2018000137";RW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2018000137
"P_031217_2018000137_06";KAM_NW_BHK_Ablauf;03.12.2017;20.12.2017;20.12.2017;1;Tage;39598;m³;"P_031217_2018000137";RW;automatischer Probenehmer;7-Tage-Mischprobe;1;l;TZW;2018000137
P_051217_2018000138;KAM_NW_BHK_Ablauf;05.12.2017;05.12.2017;29.12.2017;4;Tage;13832;m³;;TW;automatischer Probenehmer;7-Tage-Mischprobe;4;l;TZW;2018000138
